SegmentCombination	Total
BETACYN	658
BETACYN, GAMMACYN	470
BETACYN, KAPPACYN	100
BETACYN, GAMMACYN, KAPPACYN	21
BETACYN, GAMMACYN, OMEGACYN	73
BETACYN, DELTACYN, GAMMACYN	60
BETACYN, DELTACYN	58
BETACYN, KAPPACYN, OMEGACYN	8
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	2
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	4
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	1
ALPHACYN, BETACYN, GAMMACYN	30
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	8
BETACYN, OMEGACYN	25
BETACYN, GAMMACYN, ZETACYN	6
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	3
ALPHACYN, BETACYN	24
BETACYN, DELTACYN, OMEGACYN	2
BETACYN, DELTACYN, KAPPACYN	8
BETACYN, ZETACYN	3
BETACYN, KAPPACYN, ZETACYN	3
BETACYN, DELTACYN, GAMMACYN, ZETACYN	1
ALPHACYN, BETACYN, KAPPACYN	5
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	1
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	1
