SegmentCombination	Total
KAPPACYN	1370
GAMMACYN, KAPPACYN	113
BETACYN, KAPPACYN	100
BETACYN, GAMMACYN, KAPPACYN	21
ALPHACYN, KAPPACYN	195
ALPHACYN, GAMMACYN, KAPPACYN	45
GAMMACYN, KAPPACYN, OMEGACYN	3
KAPPACYN, OMEGACYN	19
BETACYN, KAPPACYN, OMEGACYN	8
DELTACYN, KAPPACYN	30
ALPHACYN, KAPPACYN, OMEGACYN	20
DELTACYN, GAMMACYN, KAPPACYN	10
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	2
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	2
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	4
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	1
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	3
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	1
BETACYN, DELTACYN, KAPPACYN	8
DELTACYN, KAPPACYN, OMEGACYN	4
BETACYN, KAPPACYN, ZETACYN	3
ALPHACYN, DELTACYN, KAPPACYN	1
ALPHACYN, KAPPACYN, ZETACYN	1
ALPHACYN, BETACYN, KAPPACYN	5
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	1
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	1
