SegmentCombination	Total
OMEGACYN	700
DELTACYN, OMEGACYN	29
DELTACYN, GAMMACYN, OMEGACYN	48
GAMMACYN, OMEGACYN	255
BETACYN, GAMMACYN, OMEGACYN	73
GAMMACYN, KAPPACYN, OMEGACYN	3
KAPPACYN, OMEGACYN	19
BETACYN, KAPPACYN, OMEGACYN	8
ALPHACYN, OMEGACYN	96
ALPHACYN, GAMMACYN, OMEGACYN	164
ALPHACYN, KAPPACYN, OMEGACYN	20
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	2
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	4
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	1
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	8
BETACYN, OMEGACYN	25
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	3
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	3
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	3
GAMMACYN, OMEGACYN, ZETACYN	3
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	3
BETACYN, DELTACYN, OMEGACYN	2
DELTACYN, KAPPACYN, OMEGACYN	4
ALPHACYN, DELTACYN, OMEGACYN	2
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	1
