SegmentCombination	Total
GAMMACYN	7471
DELTACYN, GAMMACYN	373
BETACYN, GAMMACYN	470
ALPHACYN, GAMMACYN	1354
GAMMACYN, KAPPACYN	113
BETACYN, GAMMACYN, KAPPACYN	21
ALPHACYN, GAMMACYN, KAPPACYN	45
DELTACYN, GAMMACYN, OMEGACYN	48
GAMMACYN, OMEGACYN	255
BETACYN, GAMMACYN, OMEGACYN	73
BETACYN, DELTACYN, GAMMACYN	60
GAMMACYN, KAPPACYN, OMEGACYN	3
ALPHACYN, GAMMACYN, OMEGACYN	164
DELTACYN, GAMMACYN, KAPPACYN	10
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	2
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	2
BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	4
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	1
ALPHACYN, BETACYN, GAMMACYN	30
ALPHACYN, DELTACYN, GAMMACYN	34
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	8
GAMMACYN, ZETACYN	9
DELTACYN, GAMMACYN, ZETACYN	6
BETACYN, GAMMACYN, ZETACYN	6
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	3
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	3
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	3
ALPHACYN, GAMMACYN, ZETACYN	6
GAMMACYN, OMEGACYN, ZETACYN	3
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	3
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	1
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	1
BETACYN, DELTACYN, GAMMACYN, ZETACYN	1
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	1
BETACYN, GAMMACYN, KAPPACYN, ZETACYN	1
