SegmentCombination	Total
DELTACYN, GAMMACYN	373
DELTACYN	479
ALPHACYN, DELTACYN	48
DELTACYN, OMEGACYN	29
DELTACYN, GAMMACYN, OMEGACYN	48
BETACYN, DELTACYN, GAMMACYN	60
BETACYN, DELTACYN	58
DELTACYN, KAPPACYN	30
DELTACYN, GAMMACYN, KAPPACYN	10
DELTACYN, GAMMACYN, KAPPACYN, OMEGACYN	2
ALPHACYN, DELTACYN, GAMMACYN	34
BETACYN, DELTACYN, GAMMACYN, OMEGACYN	8
DELTACYN, GAMMACYN, ZETACYN	6
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	3
BETACYN, DELTACYN, OMEGACYN	2
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	1
BETACYN, DELTACYN, KAPPACYN	8
DELTACYN, KAPPACYN, OMEGACYN	4
ALPHACYN, DELTACYN, OMEGACYN	2
DELTACYN, GAMMACYN, OMEGACYN, ZETACYN	1
BETACYN, DELTACYN, GAMMACYN, ZETACYN	1
ALPHACYN, DELTACYN, KAPPACYN	1
BETACYN, DELTACYN, GAMMACYN, KAPPACYN	1
DELTACYN, ZETACYN	1
