SegmentCombination	Total
ALPHACYN	3197
ALPHACYN, DELTACYN	48
ALPHACYN, GAMMACYN	1354
ALPHACYN, KAPPACYN	195
ALPHACYN, GAMMACYN, KAPPACYN	45
ALPHACYN, OMEGACYN	96
ALPHACYN, GAMMACYN, OMEGACYN	164
ALPHACYN, KAPPACYN, OMEGACYN	20
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN	2
ALPHACYN, BETACYN, GAMMACYN, KAPPACYN, OMEGACYN	1
ALPHACYN, BETACYN, GAMMACYN	30
ALPHACYN, DELTACYN, GAMMACYN	34
ALPHACYN, BETACYN, GAMMACYN, OMEGACYN	3
ALPHACYN, GAMMACYN, KAPPACYN, OMEGACYN	3
ALPHACYN, BETACYN	24
ALPHACYN, GAMMACYN, OMEGACYN, ZETACYN	3
ALPHACYN, GAMMACYN, ZETACYN	6
ALPHACYN, DELTACYN, GAMMACYN, OMEGACYN	3
ALPHACYN, DELTACYN, GAMMACYN, KAPPACYN	1
ALPHACYN, DELTACYN, OMEGACYN	2
ALPHACYN, ZETACYN	2
ALPHACYN, DELTACYN, KAPPACYN	1
ALPHACYN, KAPPACYN, ZETACYN	1
ALPHACYN, BETACYN, KAPPACYN	5
